,word,spam,normal
403,desks,0,1
404,desktop,0,23
405,desktops,0,10
406,deskin,1,0
407,desolated,0,2
408,desmond,1,0
409,dev,0,43
410,devel,0,65
411,develop,7,18
412,developed,2,38
413,developer,0,25
414,developers,0,19
415,development,14,56
416,developments,0,5
417,developmental,1,0
418,developing,6,30
419,develops,0,2
420,devi,0,1
421,device,0,55
422,devices,1,25
423,deviceuri,0,1
424,deviations,0,2
425,devil,0,6
426,devils,0,2
427,devine,0,2
428,devious,0,1
429,devis,2,0
430,devised,0,2
431,devon,0,1
432,devote,0,6
433,devotes,0,2
434,devotees,0,2
435,devoted,6,4
436,devoting,1,0
437,devotion,2,0
438,devoir,0,1
439,devoid,1,1
440,devolved,0,2
441,devore,0,11
442,devours,0,1
443,devastating,0,3
444,devastated,0,6
445,devteam,0,6
446,devx,0,1
447,deal,56,63
448,dealing,0,21
449,deals,6,15
450,dealt,5,6
451,dealer,9,1
452,dealers,1,1
453,dealership,2,0
454,death,21,47
455,deaths,0,5
456,dead,6,46
457,deadline,2,4
458,deadlines,0,1
459,deadly,0,5
460,deadbeat,0,1
461,deadening,0,1
462,deaf,1,3
463,deafening,0,1
464,deafbox,0,3
465,dean,0,4
466,deans,0,1
467,dear,63,14
468,dearth,0,1
469,dearest,1,0
470,deactivated,0,2
471,def,0,5
472,default,1,66
473,defaultdepth,0,1
474,defaultprinter,0,1
475,defaults,0,21
476,defaced,0,1
477,defangmime,0,2
478,defanged,0,1
479,defangs,0,1
480,defamation,1,0
481,defaming,1,0
482,define,1,16
483,defined,3,21
484,defines,1,3
485,definately,0,10
486,definite,0,2
487,definitely,2,37
488,definitive,1,3
489,definitively,0,1
490,definition,2,19
491,definitional,0,2
492,definitions,0,2
493,definiton,0,4
494,defining,0,7
495,definintely,0,1
496,deficiencies,0,2
497,deficit,0,1
498,defies,0,1
499,defiently,0,1
500,defence,2,3
501,defend,0,28
502,defendant,0,2
503,defended,0,3
504,defenders,0,2
505,defending,0,2
506,defense,2,12
507,defenses,0,7
508,defensible,0,1
509,defensive,1,3
510,defeat,0,8
511,defeated,1,4
512,defeating,0,1
513,defeats,0,1
514,defer,0,1
515,deferred,1,1
516,deferral,1,0
517,defect,0,2
518,defected,0,1
519,defection,0,1
520,defections,0,1
521,defective,1,1
522,defects,0,1
523,defuse,0,3
524,deft,0,1
525,deftly,0,2
526,deflect,0,1
527,deflects,0,1
528,deflation,0,2
529,defrosting,0,2
530,defrauded,0,1
531,defragmentation,0,1
532,defragmenter,0,1
533,defragmenters,0,1
534,defnitions,0,3
535,deformed,0,1
536,dec,0,6
537,decide,18,29
538,decided,22,41
539,decidedly,1,4
540,decides,5,3
541,deciding,0,3
542,decision,11,23
543,decisions,4,21
544,decisive,0,3
545,decisively,0,2
546,decipher,0,2
547,decipherer,0,2
548,decices,0,1
549,decibels,0,1
550,decade,4,21
551,decades,1,16
552,decadent,0,2
553,decay,0,3
554,decaying,0,4
555,decaf,0,1
556,decent,6,14
557,decentralization,0,6
558,decentralizing,0,4
559,decentralized,0,3
560,decending,0,1
561,december,5,20
562,deceit,0,2
563,deceived,0,1
564,deceided,1,0
565,deceased,1,0
566,deceptive,1,0
567,deception,1,0
568,decline,0,52
569,declined,2,7
570,declines,1,1
571,declining,0,2
572,declare,2,3
573,declared,1,10
574,declaration,1,16
575,declarations,0,3
576,declaring,0,3
577,declan,0,2
578,declassification,0,1
579,declassify,0,1
580,decdelmur,0,1
581,decode,0,4
582,decodeurl,0,1
583,decoded,0,2
584,decoder,0,2
585,decoders,1,1
586,decodes,0,1
587,decoding,0,3
588,deconstruction,0,1
589,decorations,0,4
590,decorative,0,3
591,decorum,0,1
592,decompression,0,1
593,decommissioned,1,0
594,decree,1,0
595,decreeing,0,1
596,decreed,0,1
597,decrease,0,5
598,decreased,0,3
599,decreases,1,0
600,decreasing,0,3
601,decreasingly,0,1
602,decrypt,0,7
603,decrypting,0,3
604,decryption,0,3
605,decrypted,0,3
606,decrying,0,1
607,decNUMBER,0,4
608,deck,0,6
609,decks,0,2
610,decss,0,3
611,dep,0,2
612,deputy,0,5
613,depuis,2,0
614,depend,2,10
615,depends,0,30
616,depending,3,19
617,dependence,0,2
618,dependencies,0,27
619,dependency,0,25
620,dependent,2,2
621,depended,0,1
622,dependant,0,1
623,dependable,2,0
624,dept,2,4
625,depth,0,6
626,deptid,0,1
627,deptlNUMBERyzv,1,0
628,depressing,1,3
629,depression,1,7
630,depressions,0,2
631,depressive,1,0
632,depressiveness,1,0
633,depressed,0,3
634,deprecating,0,2
635,deprecation,0,1
636,deprecate,0,1
637,deprecated,0,3
638,depraved,0,1
639,deprivation,1,0
640,depart,1,3
641,department,15,32
642,departments,1,1
643,departures,0,1
644,departed,0,1
645,depaola,0,1
646,deposit,19,0
647,deposited,17,7
648,deposits,5,0
649,depose,0,1
650,deportation,0,2
651,depot,1,0
652,deploy,0,2
653,deployed,0,7
654,deploying,0,6
655,deployment,0,16
656,deployments,0,3
657,deplorable,1,0
658,depmod,0,2
659,deps,0,1
660,depict,1,0
661,depicting,0,1
662,deja,0,8
663,dejan,2,0
664,dejanews,0,2
665,dejana,2,0
666,dejavo,0,1
667,dejcvjNUMBERmqfjzacgwqvo,0,1
668,dejna,2,0
669,den,4,0
670,deny,0,7
671,denying,0,3
672,deniability,0,3
673,denial,1,3
674,denials,0,1
675,denied,4,8
676,denies,0,4
677,denigrate,0,1
678,denizens,0,2
679,denis,2,0
680,denver,0,4
681,dense,0,7
682,density,0,9
683,dennis,1,2
684,denny,0,2
685,denmark,1,1
686,denmtrasote,0,3
687,dentist,1,3
688,dentistry,0,1
689,dental,2,1
690,dented,1,1
691,denounce,0,1
692,denounced,1,1
693,denomination,0,1
694,denominations,0,1
695,denominator,0,1
696,denote,0,1
697,denoted,0,3
698,denotes,1,0
699,denoting,1,0
700,denker,0,2
701,deneb,0,1
702,dence,0,1
703,dewdney,0,2
704,dewpoint,0,1
705,dewalt,0,2
706,dewNUMBERbnawlvhuNUMBERbtrbgow,1,0
707,dexter,0,6
708,dexportsymtab,0,2
709,der,1,4
710,dermot,0,2
711,dermody,0,2
712,dermodyr,0,1
713,dermatitis,0,1
714,derive,0,1
715,derived,1,4
716,derives,0,1
717,derivatives,0,3
718,derisively,0,1
719,derides,0,1
720,deregulation,0,4
721,deregulatory,0,2
722,dereliction,0,1
723,derek,0,1
724,deraison,0,1
725,derogatory,0,1
726,derricutt,0,6
727,derrick,1,0
728,deg,0,2
729,degree,0,12
730,degrees,1,12
731,degrade,0,1
732,degraded,0,1
733,degenerate,0,1
734,degerli,1,0
735,dey,0,1
736,dedicate,0,1
737,dedicated,5,4
738,dedication,1,0
739,deduce,0,1
740,deduct,1,1
741,deducted,0,1
742,deductions,1,0
743,deductible,2,0
744,dehlongi,0,1
745,deo,2,0
746,deoressing,0,1
747,dequeue,0,1
748,dekalb,0,1
749,deutsche,0,1
750,deutschsprachigem,1,0
751,deutschland,1,0
752,deux,2,1
753,do,191,663
754,doe,0,1
755,does,77,349
756,doesn,11,265
757,doesnt,0,11
758,doesnot,1,0
759,doeswork,0,1
760,doers,0,31
761,doen,0,1
762,doubt,7,42
763,doubters,0,1
764,doubts,0,3
765,double,9,24
766,doubled,0,1
767,doubleday,0,1
768,doubleclick,0,3
769,doubletree,1,0
770,doubling,0,2
771,doug,0,4
772,dougy,0,2
773,doughnut,0,1
774,doughnuts,0,2
775,doughnutland,0,1
776,douglas,0,2
777,dour,0,1
778,dousing,0,1
779,douly,0,1
780,doo,0,1
781,door,9,20
782,doors,0,6
783,doorstep,1,0
784,doormat,0,1
785,doorprize,0,1
786,doorway,0,1
787,doom,0,5
788,doomed,0,6
789,doomNUMBER,0,1
790,doolin,0,2
791,dooley,0,1
792,doodle,0,1
793,dooby,0,1
794,doofus,0,1
795,doozie,0,2
796,don,117,564
797,done,26,166
798,dont,5,28
799,donal,0,1
800,donald,2,3
801,donate,1,2
802,donates,0,1
803,donated,0,2
804,donating,0,1
805,donation,1,1
806,donn,2,0
807,donncha,0,1
808,donna,0,2
809,donnant,2,0
810,donnel,0,1
811,donnell,0,2
812,donor,0,3
813,donors,0,4
814,donkey,0,2
815,donkeys,0,1
816,donut,0,2
817,doc,1,13
818,document,8,20
819,documentation,0,27
820,documentary,1,3
821,documents,12,15
822,documented,1,12
823,documenting,0,2
824,documention,0,2
825,documentum,0,2
826,doctor,5,11
827,doctors,1,5
828,doctorow,0,2
829,doctrinal,0,2
830,doctrine,0,7
831,doctrines,1,2
832,doctype,0,1
833,doctest,0,1
834,docs,0,15
835,dock,0,3
836,dockworkers,0,1
837,docks,0,1
838,docking,1,1
839,dockable,0,1
840,docomo,0,1
841,docbook,0,1
842,docement,1,0
843,dow,0,4
844,down,45,209
845,download,17,37
846,downloaded,0,22
847,downloader,0,1
848,downloading,0,10
849,downloads,0,8
850,downloadable,3,1
851,downlaodable,0,1
852,downline,3,0
853,downs,0,2
854,downstairs,0,1
855,downstream,0,3
856,downsized,0,4
857,downside,1,1
858,downward,0,2
859,downwards,0,1
860,downhill,0,3
861,downtime,0,3
862,downtown,1,6
863,downtrodden,0,1
864,downturn,0,1
865,downright,1,5
866,downunder,0,2
867,downie,0,1
868,downing,0,1
869,downgrade,0,2
870,downgraded,0,1
871,downgrading,0,3
872,downpatrick,0,1
873,downplay,1,0
874,downfall,1,0
875,dowson,0,1
876,doward,0,1
877,dowell,1,0
878,dog,3,24
879,dogged,0,2
880,doggy,0,2
881,dogs,0,4
882,doging,0,1
883,dogoditi,2,0
884,doll,0,2
885,dollar,11,12
886,dollars,61,24
887,dolls,0,1
888,dole,0,4
889,dolby,0,1
890,dolayi,1,0
891,dolwuintNUMBERfnktNUMBERvmnhiNUMBERlp,1,0
892,doj,0,2
893,dom,2,5
894,domain,14,29
895,domainnapping,0,1
896,domainnames,0,1
897,domaine,0,1
898,domains,12,5
899,dominant,0,14
900,dominance,0,2
901,dominators,0,2
902,dominate,1,7
903,dominated,0,6
904,dominating,0,3
905,domination,1,0
906,dominos,0,1
907,dominus,0,1
908,dominick,0,1
909,dominica,1,0
910,dominion,1,0
911,dome,0,2
912,domestic,1,11
913,domed,0,1
914,domNUMBER,0,1
915,doi,0,2
916,doing,32,160
917,doingwhitelistoperation,0,2
918,doit,0,3
919,dozen,0,21
920,dozens,6,5
921,dozois,0,1
922,dorin,0,1
923,doriaswamy,0,1
924,dorset,0,1
925,dorm,5,0
926,dormitory,1,1
927,dormant,0,3
928,dorks,0,2
929,dorkmouse,0,1
930,dorothy,0,1
931,dornfest,0,1
932,dora,0,1
933,dos,2,4
934,dosages,1,1
935,dossier,0,1
936,dosh,0,1
937,dose,1,2
938,doses,1,4
939,doswork,1,0
940,dod,0,2
941,dodgy,0,1
942,dodging,0,1
943,dodge,0,2
944,dodges,0,1
945,dodder,1,0
946,doyle,0,1
947,dot,3,8
948,dotted,0,1
949,dots,0,4
950,dotall,0,1
951,dotcom,0,4
952,dotle,2,0
953,doable,0,2
954,doha,0,2
955,dover,0,4
956,dovdsjljbNUMBERgjtxrnNUMBERgzNUMBERuiznguoNUMBERtwirnNUMBERfttjkuusmtstdwNUMBERwqfe,1,0
957,dope,1,0
958,doks,1,0
959,doNUMBERnbudNUMBERmrNUMBERxfueocfxvtcvkk,1,0
960,dvd,9,28
961,dvds,5,69
962,dvdsynth,0,1
963,dvdrip,0,1
964,dvi,0,1
965,dvqqNUMBERmNUMBERpcducqdleNUMBERtqyNUMBERnzgNUMBERtlwNUMBERgoayntytwNUMBERvvjtzyNUMBERyNUMBERgruvNUMBERpp,1,0
966,dvubNUMBER,1,0
967,dr,11,17
968,drove,2,9
969,drop,6,35
970,drops,1,6
971,dropped,2,16
972,dropping,0,5
973,droppings,0,1
974,dropprivs,0,5
975,dropout,2,0
976,dropouts,0,6
977,dropdown,0,2
978,droplets,0,1
979,drown,0,3
980,drowning,1,1
981,drought,0,3
982,droughts,0,2
983,droit,2,2
984,drool,0,1
985,draw,6,4
986,drawing,1,9
987,drawings,2,1
988,drawn,6,9
989,drawback,0,3
990,drawers,0,1
991,draws,1,1
992,drawable,2,0
993,draig,0,5
994,draining,0,1
995,drained,0,1
996,drais,0,2
997,drank,0,1
998,dracula,0,1
999,draconian,0,1
1000,drachms,0,1
1001,drachsha,1,0
1002,drag,0,10
1003,dragooned,0,1
1004,dragons,0,2
1005,dragstrip,0,1
1006,dragster,0,3
1007,dragsters,0,1
1008,dragging,0,2
1009,dragged,0,7
1010,drama,0,1
1011,dramatic,2,16
1012,dramatically,2,7
1013,dramatize,0,1
1014,draft,8,3
1015,drafty,0,1
1016,drafter,0,1
1017,drafted,2,0
1018,drafting,1,0
1019,draperies,0,1
1020,drastic,0,2
1021,drastically,0,2
1022,drauf,1,1
1023,drea,0,1
1024,dream,8,25
1025,dreams,9,14
1026,dreamed,6,1
1027,dreaming,5,1
1028,dreamy,0,1
1029,dreamweaver,0,1
1030,dread,0,1
1031,dreaded,0,4
1032,dress,3,3
1033,dressed,1,4
1034,dresses,0,1
1035,dressing,1,1
1036,dresesd,0,1
1037,drew,1,8
1038,drehpause,1,0
1039,dri,0,3
1040,drink,0,7
1041,drinks,0,7
1042,drinking,1,6
1043,drinker,1,0
1044,drinkers,1,1
1045,drive,22,49
1046,driver,1,48
1047,drivers,0,26
1048,drives,2,17
1049,drivespace,0,2
1050,drivel,0,1
1051,driven,5,4
1052,drivetm,0,1
1053,drivezilla,0,1
1054,driving,5,20
1055,dried,0,1
1056,drier,0,2
1057,drill,0,2
1058,drilled,0,2
1059,drilling,0,2
1060,drillpipe,0,1
1061,drip,0,2
1062,drifting,0,1
1063,driNUMBERzopoNUMBERgrrNUMBERaeftvywNUMBERpismifsNUMBERbttcxbjxNUMBERhpaNUMBERxqeqq,1,0
1064,drum,0,1
1065,drumming,0,3
1066,drumroll,0,4
1067,drums,0,1
1068,drunk,0,6
1069,drunken,0,1
1070,drunks,0,1
1071,drudgery,0,1
1072,drug,9,12
1073,drugs,7,13
1074,drm,0,3
1075,drms,0,1
1076,drs,0,4
1077,dry,0,6
1078,dryer,0,4
1079,drywall,1,0
1080,drynku,1,0
1081,drdobbs,0,1
1082,drwxr,0,2
1083,drc,3,0
1084,drzanja,2,0
1085,drze,2,0
1086,drNUMBERukNUMBERbgpglkx,1,0
1087,drlvoNUMBERtNUMBERzxgduljjzibfoNUMBERrpNUMBERqljqtzmxmvmNUMBERkNUMBERpNUMBERoctNUMBERzyaqosNUMBERfNUMBER,1,0
1088,drrlizNUMBERdfpuNUMBERtshjkxeNUMBERtrddmmkovzwvwzoeNUMBERkmudjvNUMBERewbaNUMBER,1,0
1089,drfNUMBER,1,0
1090,di,1,7
1091,die,4,21
1092,diet,3,2
1093,diets,1,1
1094,dietrich,0,1
1095,diety,0,1
1096,dieties,0,1
1097,dieting,5,0
1098,dietz,0,1
1099,dies,0,11
1100,diesel,0,2
1101,dieses,1,0
1102,died,16,29
1103,diehard,0,1
1104,dienstag,0,1
1105,diego,1,0
1106,dis,1,0
1107,disc,2,4
1108,disco,0,1
1109,discover,20,26
1110,discovered,15,30
1111,discoverers,1,1
1112,discovers,0,4
1113,discoveries,2,2
1114,discovering,5,8
1115,discovery,10,16
1116,discoverNUMBER,0,2
1117,discourage,1,4
1118,discouraged,0,1
1119,discourse,1,2
1120,discount,16,4
1121,discounting,0,1
1122,discounted,5,0
1123,discounts,3,0
1124,discontent,0,2
1125,discontinue,1,0
1126,discontinued,2,0
1127,disconnect,0,2
1128,disconnected,2,2
1129,disconnecting,0,2
1130,discotheques,0,2
1131,discomfort,0,2
1132,discuss,10,154
1133,discussed,0,11
1134,discusses,0,3
1135,discussing,1,12
1136,discussion,3,36
1137,discussions,2,10
1138,disclaimer,6,6
1139,disclaimers,1,0
1140,disclosure,0,6
1141,disclosures,1,2
1142,disclose,3,4
1143,disclosed,4,1
1144,disclosing,0,1
1145,disclerta,1,0
1146,discrete,2,1
1147,discretion,0,2
1148,discretionary,0,1
1149,discredit,1,0
1150,discredited,0,2
1151,discreet,3,1
1152,discreetly,1,0
1153,discrimination,0,1
1154,discriminating,1,0
1155,discriminate,0,3
1156,discriminated,0,1
1157,discriminator,0,2
1158,discriminators,0,3
1159,discriminatory,1,0
1160,discipline,0,8
1161,disciplines,0,3
1162,disciplined,0,1
1163,disciplinary,0,1
1164,discharge,0,2
1165,discharges,0,1
1166,discard,1,3
1167,discarded,0,4
1168,discs,0,1
1169,discerning,1,1
1170,display,7,47
1171,displays,0,8
1172,displayed,1,8
1173,displaying,1,2
1174,displaced,1,0
1175,displeased,0,2
1176,disparaging,0,3
1177,disparate,0,1
1178,disparity,0,3
1179,dispatch,0,8
1180,dispatched,0,1
1181,dispatching,0,1
1182,dispute,1,7
1183,disputed,1,1
1184,disputes,0,4
1185,disperse,0,1
1186,dispersed,0,1
1187,dispensation,3,0
1188,dispensing,1,0
1189,disposition,5,9
1190,disposal,3,1
1191,dispossession,1,0
1192,disponible,1,0
1193,disponibilit,2,0
1194,dist,2,12
1195,distro,0,11
1196,distros,0,3
1197,distract,0,1
1198,distraction,0,4
1199,distractions,0,1
1200,distracted,0,1
1201,distributing,1,4
1202,distributinginformation,1,0
1203,distribution,11,39
1204,distributions,0,10
1205,distribute,6,12
1206,distributed,1,28
1207,distributes,1,2
1208,distributeur,2,0
1209,distributeurs,2,0
1210,distributor,1,5
1211,distributors,8,1
1212,district,1,11
1213,districts,0,4
1214,distress,0,2
1215,distrust,0,2
1216,distruption,0,1
1217,distance,5,16
1218,distances,0,1
1219,distanced,0,2
1220,distant,2,8
1221,distasteful,0,1
1222,distinct,0,5
1223,distinction,2,16
1224,distinctions,0,1
1225,distinctive,1,1
1226,distinctly,0,2
1227,distinguish,0,1
1228,distinguishes,0,2
1229,distinguished,1,3
1230,distinguishing,0,1
1231,distilled,1,1
1232,dists,0,1
1233,distort,0,1
1234,distorted,1,1
1235,distorts,0,2
1236,distortion,0,2
1237,disturb,2,0
1238,disturbed,0,1
1239,disturber,0,1
1240,disturbing,0,10
1241,disturbingly,0,1
1242,distcomps,0,1
1243,disk,11,35
1244,disks,0,9
1245,diskeeper,0,1
1246,disagree,0,20
1247,disagreement,0,3
1248,disagreements,0,4
1249,disagreed,0,1
1250,disagreeable,0,4
1251,disappointment,0,3
1252,disappointed,1,2
1253,disappointing,0,6
1254,disappear,0,6
1255,disappearance,2,2
1256,disappearing,0,5
1257,disappeared,0,4
1258,disappears,0,3
1259,disapprobation,0,1
1260,disapproves,0,1
1261,disaster,0,8
1262,disasters,0,1
1263,disastrous,0,2
1264,disassembler,0,1
1265,disable,0,16
1266,disabled,0,13
1267,disables,0,5
1268,disabling,0,15
1269,disabilities,0,2
1270,disability,2,2
1271,disallow,0,2
1272,disallowed,0,1
1273,disarmed,0,1
1274,disadvantages,2,1
1275,dissident,0,4
1276,dissemination,2,4
1277,disseminating,1,0
1278,disseminate,1,1
1279,disseminated,1,0
1280,dissertation,0,6
1281,dissent,0,1
1282,dissenting,0,2
1283,dissenters,0,1
1284,dissonance,0,1
1285,dissociates,0,1
1286,dissolve,0,1
1287,dissatisfied,0,4
1288,dissatisfaction,0,2
1289,dissassembler,0,2
1290,dissuade,0,2
1291,disguise,1,1
1292,disguises,0,1
1293,disguised,0,1
1294,disgust,0,2
1295,disgusted,0,2
1296,disgrace,0,1
1297,disgraceful,0,2
1298,disgraces,0,1
1299,disgraced,0,1
1300,disrupt,0,4
1301,disrupted,0,1
